name,display_rank,rank,tied
University of Texas Health Science Center--Houston,Unranked,-2,FALSE
University of Texas Health Science Center--San Antonio,Unranked,-2,FALSE
University of Texas Medical Branch--Galveston,Unranked,-2,FALSE
University of the Arts,Unranked,-2,FALSE
University of the Potomac,Unranked,-2,FALSE
University of the West,Unranked,-2,FALSE
University of Washington Bothell,Unranked,-2,FALSE
Valencia College,Unranked,-2,FALSE
VanderCook College of Music,Unranked,-2,FALSE
Wade College,Unranked,-2,FALSE
Walsh College,Unranked,-2,FALSE
Webb Institute,Unranked,-2,FALSE
Wenatchee Valley College,Unranked,-2,FALSE
Westcliff University,Unranked,-2,FALSE
West Coast University,Unranked,-2,FALSE
Western Nevada College,Unranked,-2,FALSE
West Los Angeles College,Unranked,-2,FALSE
West Virginia University Institute of Technology,Unranked,-2,FALSE
West Virginia University--Parkersburg,Unranked,-2,FALSE
Whatcom Community College,Unranked,-2,FALSE
Yakima Valley College,Unranked,-2,FALSE
Academy of Art University,#105-115,-1,FALSE
Alabama State University,#395-435,-1,FALSE
Allen University,#186-204,-1,FALSE
Alliance University,#151-167,-1,FALSE
American International College,#395-435,-1,FALSE
Anna Maria College,#151-167,-1,FALSE
Arkansas Baptist College,#91-99,-1,FALSE
Art Institute of Atlanta,#91-99,-1,FALSE
Bacone College,#45-48,-1,FALSE
Baker College,#149-164,-1,FALSE
Barry University,#395-435,-1,FALSE
Bayamon Central University,#123-135,-1,FALSE
Bay State College,#41-44,-1,FALSE
Belhaven University,#395-435,-1,FALSE
Bellevue University,#149-164,-1,FALSE
Berkeley College (NJ),#151-167,-1,FALSE
Bethany College (WV),#186-204,-1,FALSE
Bethune-Cookman University,#186-204,-1,FALSE
Brenau University,#394-435,-1,FALSE
Brewton-Parker College,#91-99,-1,FALSE
Briar Cliff University,#394-435,-1,FALSE
Calumet College of St. Joseph,#149-164,-1,FALSE
Capitol Technology University,#395-435,-1,FALSE
Caribbean University,#123-135,-1,FALSE
Central Christian College of Kansas,#68-74,-1,FALSE
Central State University,#68-74,-1,FALSE
Chicago State University,#149-164,-1,FALSE
Clarks Summit University,#151-167,-1,FALSE
Colegio Universitario de San Juan,#91-99,-1,FALSE
Colorado Technical University,#395-435,-1,FALSE
Columbia College (MO),#149-164,-1,FALSE
Coppin State University,#151-167,-1,FALSE
DeVry University,#149-164,-1,FALSE
Eastern Nazarene College,#151-167,-1,FALSE
East-West University,#186-204,-1,FALSE
Embry-Riddle Aeronautical University--Worldwide,#123-135,-1,FALSE
Faulkner University,#123-135,-1,FALSE
Franklin University,#149-164,-1,FALSE
Georgetown College,#186-204,-1,FALSE
Goodwin University,#41-44,-1,FALSE
Gordon State College,#91-99,-1,FALSE
Governors State University,#149-164,-1,FALSE
Grand Canyon University,#395-435,-1,FALSE
Great Basin College,#45-48,-1,FALSE
Great Lakes Christian College,#68-74,-1,FALSE
Hardin-Simmons University,#395-435,-1,FALSE
Harrisburg University of Science and Technology,#151-167,-1,FALSE
Harris-Stowe State University,#68-74,-1,FALSE
Hebrew Theological College,#186-204,-1,FALSE
Herzing University,#149-164,-1,FALSE
Herzing University-Atlanta,#91-99,-1,FALSE
Hodges University,#123-135,-1,FALSE
"Holy Cross College at Notre Dame, Indiana",#186-204,-1,FALSE
Idaho State University,#395-435,-1,FALSE
Jackson State University,#395-435,-1,FALSE
Kennesaw State University,#394-435,-1,FALSE
Kent State University at East Liverpool,#68-74,-1,FALSE
Lamar University,#395-435,-1,FALSE
Lane College,#186-204,-1,FALSE
Langston University,#105-115,-1,FALSE
LeMoyne-Owen College,#91-99,-1,FALSE
Liberty University,#395-435,-1,FALSE
Lincoln Christian University,#149-164,-1,FALSE
Maharishi International University,#149-164,-1,FALSE
Martin University,#186-204,-1,FALSE
Mary Baldwin University,#395-435,-1,FALSE
Metropolitan College of New York,#151-167,-1,FALSE
Mid-America Christian University,#105-115,-1,FALSE
Missouri Baptist University,#149-164,-1,FALSE
Missouri Valley College,#68-74,-1,FALSE
Naropa University,#105-115,-1,FALSE
National Louis University,#395-435,-1,FALSE
National University,#105-115,-1,FALSE
National University College,#123-135,-1,FALSE
New England College,#151-167,-1,FALSE
Our Lady of the Lake University,#395-435,-1,FALSE
Paine College,#186-204,-1,FALSE
Park University,#149-164,-1,FALSE
Pillar College,#186-204,-1,FALSE
Post University,#151-167,-1,FALSE
Prairie View A&M University,#395-435,-1,FALSE
Providence Christian College,#186-204,-1,FALSE
Purdue University Global,#395-435,-1,FALSE
Rivier University,#151-167,-1,FALSE
Rust College,#186-204,-1,FALSE
Salem University,#123-135,-1,FALSE
Shaw University,#91-99,-1,FALSE
Sierra Nevada University,#105-115,-1,FALSE
South College,#395-435,-1,FALSE
Southeastern University,#395-435,-1,FALSE
Southern New Hampshire University,#151-167,-1,FALSE
Southern University and A&M College,#395-435,-1,FALSE
Southern University at New Orleans,#123-135,-1,FALSE
Southern Virginia University,#186-204,-1,FALSE
South University,#123-135,-1,FALSE
St. Thomas University,#395-435,-1,FALSE
SUNY Empire State College,#151-167,-1,FALSE
Tennessee State University,#395-435,-1,FALSE
Texas A&M University--Corpus Christi,#395-435,-1,FALSE
Texas College,#45-48,-1,FALSE
Texas Southern University,#395-435,-1,FALSE
Texas Wesleyan University,#395-435,-1,FALSE
Trinity International University,#395-435,-1,FALSE
Unity Environmental University,#151-167,-1,FALSE
Universidad Ana G. Mendez--Carolina Campus,#123-135,-1,FALSE
Universidad Ana G. Mendez--Cupey Campus,#123-135,-1,FALSE
Universidad Ana G. Mendez--Gurabo Campus,#395-435,-1,FALSE
Universidad Politecnica de Puerto Rico,#123-135,-1,FALSE
University of Alaska--Southeast,#105-115,-1,FALSE
University of Arkansas--Monticello,#123-135,-1,FALSE
University of Central Arkansas,#394-435,-1,FALSE
University of Charleston,#395-435,-1,FALSE
University of Colorado Colorado Springs,#395-435,-1,FALSE
University of Maine--Augusta,#41-44,-1,FALSE
University of Mary Hardin-Baylor,#394-435,-1,FALSE
University of Maryland Global Campus,#151-167,-1,FALSE
University of New Orleans,#394-435,-1,FALSE
University of Pikeville,#395-435,-1,FALSE
University of Pittsburgh at Greensburg,#186-204,-1,FALSE
University of Puerto Rico--Utuado,#91-99,-1,FALSE
University of Saint Katherine,#45-48,-1,FALSE
University of Science and Arts of Oklahoma,#186-204,-1,FALSE
University of the Cumberlands,#395-435,-1,FALSE
University of the Southwest,#105-115,-1,FALSE
Upper Iowa University,#149-164,-1,FALSE
Valdosta State University,#395-435,-1,FALSE
Vermont State University,#151-167,-1,FALSE
Villa Maria College,#41-44,-1,FALSE
Vincennes University,#68-74,-1,FALSE
Virginia Union University,#186-204,-1,FALSE
Waldorf University,#149-164,-1,FALSE
Warren Wilson College,#186-204,-1,FALSE
Washington Adventist University,#151-167,-1,FALSE
Wayland Baptist University,#105-115,-1,FALSE
Western New Mexico University,#105-115,-1,FALSE
William Woods University,#395-435,-1,FALSE
Wilmington University,#395-435,-1,FALSE
Wright State University,#394-435,-1,FALSE
Young Harris College,#186-204,-1,FALSE
Bentley University,#1,1,TRUE
Butler University,#1,1,FALSE
California Polytechnic State University--San Luis Obispo,#1,1,FALSE
Embry-Riddle Aeronautical University--Prescott,#1,1,FALSE
High Point University,#1,1,FALSE
Illinois Wesleyan University,#1,1,FALSE
Princeton University,#1,1,FALSE
Providence College,#1,1,TRUE
Rollins College,#1,1,FALSE
United States Coast Guard Academy,#1,1,FALSE
Williams College,#1,1,FALSE
Amherst College,#2,2,FALSE
California State University--Maritime Academy,#2,2,FALSE
"The Citadel, The Military College of South Carolina",#2,2,FALSE
Cooper Union for the Advancement of Science and Art,#2,2,FALSE
Florida Polytechnic University,#2,2,FALSE
Massachusetts Institute of Technology,#2,2,FALSE
Milwaukee School of Engineering,#2,2,FALSE
Ohio Northern University,#2,2,FALSE
University of Portland,#2,2,FALSE
Appalachian State University,#3,3,FALSE
Beacon College,#3,3,TRUE
California State Polytechnic University--Pomona,#3,3,FALSE
Carroll College,#3,3,FALSE
College of the Ozarks,#3,3,TRUE
Flagler College,#3,3,TRUE
Harvard University,#3,3,TRUE
John Carroll University,#3,3,FALSE
Stanford University,#3,3,TRUE
Taylor University,#3,3,TRUE
United States Merchant Marine Academy,#3,3,FALSE
United States Naval Academy,#3,3,FALSE
Calvin University,#4,4,FALSE
The College of New Jersey,#4,4,TRUE
Criswell College,#4,4,FALSE
Grove City College,#4,4,FALSE
Pomona College,#4,4,TRUE
Rhode Island School of Design,#4,4,TRUE
Saint Mary's College of California,#4,4,TRUE
San Jose State University,#4,4,TRUE
Stetson University,#4,4,FALSE
Swarthmore College,#4,4,TRUE
Wellesley College,#4,4,TRUE
Berry College,#5,5,FALSE
Maine Maritime Academy,#5,5,FALSE
Oregon Institute of Technology,#5,5,FALSE
Simpson College,#5,5,FALSE
Truman State University,#5,5,FALSE
University of Scranton,#5,5,FALSE
Yale University,#5,5,FALSE
Baldwin Wallace University,#6,6,TRUE
Bryant University,#6,6,FALSE
Catawba College,#6,6,TRUE
Cottey College,#6,6,FALSE
Elmhurst University,#6,6,TRUE
Embry-Riddle Aeronautical University -- Daytona Beach,#6,6,FALSE
Fashion Institute of Design & Merchandising,#6,6,FALSE
Pennsylvania College of Technology,#6,6,FALSE
St. Edward's University,#6,6,FALSE
University of Pennsylvania,#6,6,FALSE
Wesleyan College,#6,6,TRUE
Alma College,#7,7,FALSE
California Institute of Technology,#7,7,TRUE
Christopher Newport University,#7,7,FALSE
College of Idaho,#7,7,FALSE
Duke University,#7,7,TRUE
Elmira College,#7,7,FALSE
Loyola University Maryland,#7,7,FALSE
United States Air Force Academy,#7,7,FALSE
University of Redlands,#7,7,TRUE
University of the Ozarks,#7,7,FALSE
Whitworth University,#7,7,TRUE
Alfred State College--SUNY,#8,8,FALSE
Benedictine College,#8,8,TRUE
Brigham Young University--Idaho,#8,8,FALSE
Dordt University,#8,8,FALSE
Saint Joseph's University,#8,8,FALSE
Spring Hill College,#8,8,FALSE
Tuskegee University,#8,8,FALSE
United States Military Academy at West Point,#8,8,FALSE
William Jewell College,#8,8,TRUE
Bowdoin College,#9,9,TRUE
Brigham Young University--Hawaii,#9,9,FALSE
Brown University,#9,9,TRUE
Carleton College,#9,9,TRUE
College of Charleston,#9,9,TRUE
College of Mount St. Vincent,#9,9,TRUE
CUNY--Baruch College,#9,9,FALSE
Huntingdon College,#9,9,FALSE
Johns Hopkins University,#9,9,TRUE
Kettering University,#9,9,FALSE
Northwestern University,#9,9,TRUE
Point Loma Nazarene University,#9,9,FALSE
Savannah College of Art and Design,#9,9,TRUE
SUNY College of Technology at Canton,#9,9,TRUE
Barton College,#10,10,TRUE
California State University--Stanislaus,#10,10,FALSE
Hamline University,#10,10,FALSE
Hiram College,#10,10,TRUE
Lake Superior State University,#10,10,TRUE
Marist College,#10,10,FALSE
Newberry College,#10,10,TRUE
Barnard College,#11,11,TRUE
California Lutheran University,#11,11,TRUE
Claremont McKenna College,#11,11,TRUE
Dominican University,#11,11,TRUE
Florida Southern College,#11,11,TRUE
Grinnell College,#11,11,TRUE
Massachusetts Maritime Academy,#11,11,FALSE
Middlebury College,#11,11,TRUE
Mount Saint Mary's University,#11,11,TRUE
Texas Lutheran University,#11,11,TRUE
University of Maine at Farmington,#11,11,FALSE
University of Northern Iowa,#11,11,TRUE
Warner Pacific University,#11,11,TRUE
Wesleyan University,#11,11,TRUE
Winthrop University,#11,11,TRUE
Colby-Sawyer College,#12,12,TRUE
Columbia University,#12,12,TRUE
Cornell University,#12,12,TRUE
Goshen College,#12,12,TRUE
Keene State College,#12,12,TRUE
LaGrange College,#12,12,FALSE
Loras College,#12,12,TRUE
SUNY Cobleskill,#12,12,TRUE
SUNY--Geneseo,#12,12,FALSE
University of Antelope Valley,#12,12,FALSE
University of Chicago,#12,12,TRUE
University of Pittsburgh at Johnstown,#12,12,TRUE
Christian Brothers University,#13,13,TRUE
Emerson College,#13,13,TRUE
Indiana Wesleyan University,#13,13,TRUE
Ithaca College,#13,13,TRUE
John Brown University,#13,13,TRUE
Lewis University,#13,13,TRUE
Manhattan College,#13,13,TRUE
North Florida College,#13,13,FALSE
Pacific Union College,#13,13,FALSE
Rockhurst University,#13,13,TRUE
Siena College,#13,13,TRUE
University of Evansville,#13,13,TRUE
University of Washington Tacoma,#13,13,FALSE
Baptist College of Florida,#14,14,FALSE
California State University--Monterey Bay,#14,14,TRUE
St. Mary's University of San Antonio,#14,14,TRUE
Trine University,#14,14,FALSE
